"","year","neighborhood","count"
"213",1928,"other",6
"214",1928,"south_kenwood",19
"215",1928,"south_shore",23
"216",1928,"south_woodlawn",82
"217",1929,"black_belt",46
"218",1929,"hyde_park",390
"219",1929,"north_kenwood",9
"220",1929,"north_woodlawn",72
"221",1929,"other",23
"222",1929,"south_kenwood",16
"223",1929,"south_shore",15
"224",1929,"south_woodlawn",89
"225",1930,"black_belt",24
"226",1930,"hyde_park",234
"227",1930,"north_kenwood",0
"228",1930,"north_woodlawn",80
"229",1930,"other",8
"230",1930,"south_kenwood",25
"231",1930,"south_shore",15
"232",1930,"south_woodlawn",98
"233",1931,"black_belt",25
"234",1931,"hyde_park",386
"235",1931,"north_kenwood",1
"236",1931,"north_woodlawn",55
"237",1931,"other",2
"238",1931,"south_kenwood",48
"239",1931,"south_shore",27
"240",1931,"south_woodlawn",104
"241",1932,"black_belt",53
"242",1932,"hyde_park",371
"243",1932,"north_kenwood",6
"244",1932,"north_woodlawn",64
"245",1932,"other",8
"246",1932,"south_kenwood",24
"247",1932,"south_shore",10
"248",1932,"south_woodlawn",155
"249",1933,"black_belt",73
"250",1933,"hyde_park",423
"251",1933,"north_kenwood",4
"252",1933,"north_woodlawn",40
"253",1933,"other",1
"254",1933,"south_kenwood",13
"255",1933,"south_shore",13
"256",1933,"south_woodlawn",81
"257",1934,"black_belt",35
"258",1934,"hyde_park",259
"259",1934,"north_kenwood",1
"260",1934,"north_woodlawn",46
"261",1934,"other",2
"262",1934,"south_kenwood",24
"263",1934,"south_shore",19
"264",1934,"south_woodlawn",111
"265",1935,"black_belt",60
"266",1935,"hyde_park",343
"267",1935,"north_kenwood",4
"268",1935,"north_woodlawn",103
"269",1935,"other",4
"270",1935,"south_kenwood",41
"271",1935,"south_shore",41
"272",1935,"south_woodlawn",129
"273",1936,"black_belt",39
"274",1936,"hyde_park",304
"275",1936,"north_kenwood",0
"276",1936,"north_woodlawn",32
"277",1936,"other",0
"278",1936,"south_kenwood",12
"279",1936,"south_shore",4
"280",1936,"south_woodlawn",65
"281",1937,"black_belt",17
"282",1937,"hyde_park",243
"283",1937,"north_kenwood",1
"284",1937,"north_woodlawn",51
"285",1937,"other",12
"286",1937,"south_kenwood",3
"287",1937,"south_shore",9
"288",1937,"south_woodlawn",85
"289",1938,"black_belt",10
"290",1938,"hyde_park",248
"291",1938,"north_kenwood",2
"292",1938,"north_woodlawn",109
"293",1938,"other",3
"294",1938,"south_kenwood",1
"295",1938,"south_shore",17
"296",1938,"south_woodlawn",58
"297",1939,"black_belt",42
"298",1939,"hyde_park",231
"299",1939,"north_kenwood",2
"300",1939,"north_woodlawn",67
"301",1939,"other",6
"302",1939,"south_kenwood",4
"303",1939,"south_shore",32
"304",1939,"south_woodlawn",109
"305",1940,"black_belt",44
"306",1940,"hyde_park",231
"307",1940,"north_kenwood",0
"308",1940,"north_woodlawn",55
"309",1940,"other",9
"310",1940,"south_kenwood",1
"311",1940,"south_shore",10
"312",1940,"south_woodlawn",96
"313",1941,"black_belt",9
"314",1941,"hyde_park",179
"315",1941,"north_kenwood",0
"316",1941,"north_woodlawn",22
"317",1941,"other",0
"318",1941,"south_kenwood",0
"319",1941,"south_shore",6
"320",1941,"south_woodlawn",107
"321",1942,"black_belt",1
"322",1942,"hyde_park",124
"323",1942,"north_kenwood",0
"324",1942,"north_woodlawn",6
"325",1942,"other",1
"326",1942,"south_kenwood",3
"327",1942,"south_shore",6
"328",1942,"south_woodlawn",33
"329",1943,"black_belt",2
"330",1943,"hyde_park",48
"331",1943,"north_kenwood",0
"332",1943,"north_woodlawn",9
"333",1943,"other",1
"334",1943,"south_kenwood",1
"335",1943,"south_shore",0
"336",1943,"south_woodlawn",6
"337",1944,"black_belt",1
"338",1944,"hyde_park",95
"339",1944,"north_kenwood",0
"340",1944,"north_woodlawn",15
"341",1944,"other",0
"342",1944,"south_kenwood",4
"343",1944,"south_shore",6
"344",1944,"south_woodlawn",17
"345",1945,"black_belt",2
"346",1945,"hyde_park",89
"347",1945,"north_kenwood",0
"348",1945,"north_woodlawn",6
"349",1945,"other",0
"350",1945,"south_kenwood",0
"351",1945,"south_shore",9
"352",1945,"south_woodlawn",12
"353",1946,"black_belt",5
"354",1946,"hyde_park",148
"355",1946,"north_kenwood",0
"356",1946,"north_woodlawn",7
"357",1946,"other",2
"358",1946,"south_kenwood",11
"359",1946,"south_shore",0
"360",1946,"south_woodlawn",8
"361",1947,"black_belt",5
"362",1947,"hyde_park",159
"363",1947,"north_kenwood",0
"364",1947,"north_woodlawn",25
"365",1947,"other",0
"366",1947,"south_kenwood",6
"367",1947,"south_shore",0
"368",1947,"south_woodlawn",15
"369",1948,"black_belt",9
"370",1948,"hyde_park",277
"371",1948,"north_kenwood",2
"372",1948,"north_woodlawn",55
"373",1948,"other",3
"374",1948,"south_kenwood",10
"375",1948,"south_shore",3
"376",1948,"south_woodlawn",29
"377",1949,"black_belt",4
"378",1949,"hyde_park",225
"379",1949,"north_kenwood",0
"380",1949,"north_woodlawn",38
"381",1949,"other",3
"382",1949,"south_kenwood",4
"383",1949,"south_shore",3
"384",1949,"south_woodlawn",14
"385",1950,"black_belt",7
"386",1950,"hyde_park",253
"387",1950,"north_kenwood",6
"388",1950,"north_woodlawn",38
"389",1950,"other",3
"390",1950,"south_kenwood",1
"391",1950,"south_shore",3
"392",1950,"south_woodlawn",24
"393",1951,"black_belt",15
"394",1951,"hyde_park",331
"395",1951,"north_kenwood",3
"396",1951,"north_woodlawn",76
"397",1951,"other",8
"398",1951,"south_kenwood",11
"399",1951,"south_shore",4
"400",1951,"south_woodlawn",27
"401",1952,"black_belt",3
"402",1952,"hyde_park",151
"403",1952,"north_kenwood",0
"404",1952,"north_woodlawn",27
"405",1952,"other",4
"406",1952,"south_kenwood",4
"407",1952,"south_shore",0
"408",1952,"south_woodlawn",16
"409",1953,"black_belt",12
"410",1953,"hyde_park",280
"411",1953,"north_kenwood",1
"412",1953,"north_woodlawn",17
"413",1953,"other",11
"414",1953,"south_kenwood",3
"415",1953,"south_shore",2
"416",1953,"south_woodlawn",4
"417",1954,"black_belt",18
"418",1954,"hyde_park",317
"419",1954,"north_kenwood",0
"420",1954,"north_woodlawn",44
"421",1954,"other",1
"422",1954,"south_kenwood",3
"423",1954,"south_shore",2
"424",1954,"south_woodlawn",16
"425",1955,"black_belt",2
"426",1955,"hyde_park",430
"427",1955,"north_kenwood",0
"428",1955,"north_woodlawn",24
"429",1955,"other",7
"430",1955,"south_kenwood",28
"431",1955,"south_shore",9
"432",1955,"south_woodlawn",19
"433",1956,"black_belt",6
"434",1956,"hyde_park",477
"435",1956,"north_kenwood",3
"436",1956,"north_woodlawn",29
"437",1956,"other",6
"438",1956,"south_kenwood",13
"439",1956,"south_shore",13
"440",1956,"south_woodlawn",30
"441",1957,"black_belt",7
"442",1957,"hyde_park",416
"443",1957,"north_kenwood",2
"444",1957,"north_woodlawn",20
"445",1957,"other",17
"446",1957,"south_kenwood",29
"447",1957,"south_shore",12
"448",1957,"south_woodlawn",13
"449",1958,"black_belt",5
"450",1958,"hyde_park",433
"451",1958,"north_kenwood",1
"452",1958,"north_woodlawn",41
"453",1958,"other",15
"454",1958,"south_kenwood",33
"455",1958,"south_shore",7
"456",1958,"south_woodlawn",15
"457",1959,"black_belt",5
"458",1959,"hyde_park",580
"459",1959,"north_kenwood",7
"460",1959,"north_woodlawn",39
"461",1959,"other",22
"462",1959,"south_kenwood",20
"463",1959,"south_shore",52
"464",1959,"south_woodlawn",1
"465",1960,"black_belt",14
"466",1960,"hyde_park",351
"467",1960,"north_kenwood",3
"468",1960,"north_woodlawn",31
"469",1960,"other",22
"470",1960,"south_kenwood",10
"471",1960,"south_shore",43
"472",1960,"south_woodlawn",1
"473",1961,"black_belt",13
"474",1961,"hyde_park",304
"475",1961,"north_kenwood",1
"476",1961,"north_woodlawn",22
"477",1961,"other",7
"478",1961,"south_kenwood",35
"479",1961,"south_shore",50
"480",1961,"south_woodlawn",2
"481",1962,"black_belt",26
"482",1962,"hyde_park",464
"483",1962,"north_kenwood",3
"484",1962,"north_woodlawn",47
"485",1962,"other",9
"486",1962,"south_kenwood",18
"487",1962,"south_shore",45
"488",1962,"south_woodlawn",9
"489",1963,"black_belt",10
"490",1963,"hyde_park",522
"491",1963,"north_kenwood",3
"492",1963,"north_woodlawn",49
"493",1963,"other",15
"494",1963,"south_kenwood",13
"495",1963,"south_shore",60
"496",1963,"south_woodlawn",2
"497",1964,"black_belt",18
"498",1964,"hyde_park",477
"499",1964,"north_kenwood",9
"500",1964,"north_woodlawn",49
"501",1964,"other",27
"502",1964,"south_kenwood",10
"503",1964,"south_shore",36
"504",1964,"south_woodlawn",7
"505",1965,"black_belt",34
"506",1965,"hyde_park",525
"507",1965,"north_kenwood",10
"508",1965,"north_woodlawn",43
"509",1965,"other",24
"510",1965,"south_kenwood",6
"511",1965,"south_shore",13
"512",1965,"south_woodlawn",6
"513",1966,"black_belt",11
"514",1966,"hyde_park",490
"515",1966,"north_kenwood",3
"516",1966,"north_woodlawn",49
"517",1966,"other",13
"518",1966,"south_kenwood",17
"519",1966,"south_shore",24
"520",1966,"south_woodlawn",6
"521",1967,"black_belt",21
"522",1967,"hyde_park",352
"523",1967,"north_kenwood",9
"524",1967,"north_woodlawn",42
"525",1967,"other",28
"526",1967,"south_kenwood",15
"527",1967,"south_shore",39
"528",1967,"south_woodlawn",3
"529",1968,"black_belt",40
"530",1968,"hyde_park",484
"531",1968,"north_kenwood",3
"532",1968,"north_woodlawn",36
"533",1968,"other",17
"534",1968,"south_kenwood",15
"535",1968,"south_shore",103
"536",1968,"south_woodlawn",4
"537",1969,"black_belt",17
"538",1969,"hyde_park",565
"539",1969,"north_kenwood",4
"540",1969,"north_woodlawn",39
"541",1969,"other",18
"542",1969,"south_kenwood",15
"543",1969,"south_shore",95
"544",1969,"south_woodlawn",2
"545",1970,"black_belt",11
"546",1970,"hyde_park",602
"547",1970,"north_kenwood",4
"548",1970,"north_woodlawn",25
"549",1970,"other",30
"550",1970,"south_kenwood",31
"551",1970,"south_shore",74
"552",1970,"south_woodlawn",1
"553",1971,"black_belt",23
"554",1971,"hyde_park",535
"555",1971,"north_kenwood",5
"556",1971,"north_woodlawn",34
"557",1971,"other",13
"558",1971,"south_kenwood",54
"559",1971,"south_shore",66
"560",1971,"south_woodlawn",2
"561",1973,"black_belt",20
"562",1973,"hyde_park",730
"563",1973,"north_kenwood",0
"564",1973,"north_woodlawn",68
"565",1973,"other",34
"566",1973,"south_kenwood",64
"567",1973,"south_shore",70
"568",1973,"south_woodlawn",2
"569",1974,"black_belt",8
"570",1974,"hyde_park",258
"571",1974,"north_kenwood",1
"572",1974,"north_woodlawn",30
"573",1974,"other",26
"574",1974,"south_kenwood",25
"575",1974,"south_shore",16
