id,year,hyde_park,black_belt,south_woodlawn,north_woodlawn,south_kenwood,south_shore
71,1973,76.51991614,2.096436059,0.209643606,7.127882599,6.708595388,7.337526205
72,1974,75.88235294,2.352941176,0.882352941,8.823529412,7.352941177,4.705882353
73,1975,78.93491124,2.721893491,0.591715976,3.786982249,7.455621302,6.50887574
74,1976,79.51070336,1.681957187,0.152905199,3.975535168,5.504587156,9.174311927
75,1977,71.27659574,2.73556231,0.607902736,4.7112462,5.015197568,15.65349544
76,1978,78.67647059,0.919117647,1.470588236,3.308823529,9.375,6.25
77,1979,80.41237114,2.886597938,0.412371134,2.474226805,11.13402061,2.680412371
78,1980,80,6.06060606,0.404040405,4.242424243,8.484848485,0.808080808
79,1981,85.2739726,4.623287671,0.171232876,3.082191781,6.335616438,0.51369863
80,1982,87.53926702,2.827225131,0.314136125,2.094240838,6.387434555,0.837696335
81,1983,83.38108883,2.578796561,0.143266475,4.58452722,7.593123209,1.719197707
82,1984,82.55613126,2.590673575,0,1.727115717,12.08981002,1.03626943
83,1985,76.31133672,4.737732657,0.169204738,2.876480542,12.01353638,3.891708968
84,1986,76.35524798,1.499423299,0.807381776,5.651672433,10.84198385,4.844290657
