"","year","neighborhood","count"
"203",1942,"south_kenwood",3
"204",1942,"south_shore",6
"205",1942,"south_woodlawn",33
"206",1943,"black_belt",2
"207",1943,"north_woodlawn",9
"208",1943,"south_kenwood",1
"209",1943,"south_shore",0.01
"210",1943,"south_woodlawn",6
"211",1944,"black_belt",1
"212",1944,"north_woodlawn",15
"213",1944,"south_kenwood",4
"214",1944,"south_shore",6
"215",1944,"south_woodlawn",17
"216",1945,"black_belt",2
"217",1945,"north_woodlawn",6
"218",1945,"south_kenwood",0.01
"219",1945,"south_shore",9
"220",1945,"south_woodlawn",12
"221",1946,"black_belt",5
"222",1946,"north_woodlawn",7
"223",1946,"south_kenwood",11
"224",1946,"south_shore",0.01
"225",1946,"south_woodlawn",8
"226",1947,"black_belt",5
"227",1947,"north_woodlawn",25
"228",1947,"south_kenwood",6
"229",1947,"south_shore",0.01
"230",1947,"south_woodlawn",15
"231",1948,"black_belt",9
"232",1948,"north_woodlawn",55
"233",1948,"south_kenwood",10
"234",1948,"south_shore",3
"235",1948,"south_woodlawn",29
"236",1949,"black_belt",4
"237",1949,"north_woodlawn",38
"238",1949,"south_kenwood",4
"239",1949,"south_shore",3
"240",1949,"south_woodlawn",14
"241",1950,"black_belt",7
"242",1950,"north_woodlawn",38
"243",1950,"south_kenwood",1
"244",1950,"south_shore",3
"245",1950,"south_woodlawn",24
"246",1951,"black_belt",15
"247",1951,"north_woodlawn",76
"248",1951,"south_kenwood",11
"249",1951,"south_shore",4
"250",1951,"south_woodlawn",27
"251",1952,"black_belt",3
"252",1952,"north_woodlawn",27
"253",1952,"south_kenwood",4
"254",1952,"south_shore",0.01
"255",1952,"south_woodlawn",16
"256",1953,"black_belt",12
"257",1953,"north_woodlawn",17
"258",1953,"south_kenwood",3
"259",1953,"south_shore",2
"260",1953,"south_woodlawn",4
"261",1954,"black_belt",18
"262",1954,"north_woodlawn",44
"263",1954,"south_kenwood",3
"264",1954,"south_shore",2
"265",1954,"south_woodlawn",16
"266",1955,"black_belt",2
"267",1955,"north_woodlawn",24
"268",1955,"south_kenwood",28
"269",1955,"south_shore",9
"270",1955,"south_woodlawn",19
"271",1956,"black_belt",6
"272",1956,"north_woodlawn",29
"273",1956,"south_kenwood",13
"274",1956,"south_shore",13
"275",1956,"south_woodlawn",30
"276",1957,"black_belt",7
"277",1957,"north_woodlawn",20
"278",1957,"south_kenwood",29
"279",1957,"south_shore",12
"280",1957,"south_woodlawn",13
"281",1958,"black_belt",5
"282",1958,"north_woodlawn",41
"283",1958,"south_kenwood",33
"284",1958,"south_shore",7
"285",1958,"south_woodlawn",15
"286",1959,"black_belt",5
"287",1959,"north_woodlawn",39
"288",1959,"south_kenwood",20
"289",1959,"south_shore",52
"290",1959,"south_woodlawn",1
"291",1960,"black_belt",14
"292",1960,"north_woodlawn",31
"293",1960,"south_kenwood",10
"294",1960,"south_shore",43
"295",1960,"south_woodlawn",1
"296",1961,"black_belt",13
"297",1961,"north_woodlawn",22
"298",1961,"south_kenwood",35
"299",1961,"south_shore",50
"300",1961,"south_woodlawn",2
"301",1962,"black_belt",26
"302",1962,"north_woodlawn",47
"303",1962,"south_kenwood",18
"304",1962,"south_shore",45
"305",1962,"south_woodlawn",9
"306",1963,"black_belt",10
"307",1963,"north_woodlawn",49
"308",1963,"south_kenwood",13
"309",1963,"south_shore",60
"310",1963,"south_woodlawn",2
"311",1964,"black_belt",18
"312",1964,"north_woodlawn",49
"313",1964,"south_kenwood",10
"314",1964,"south_shore",36
"315",1964,"south_woodlawn",7
"316",1965,"black_belt",34
"317",1965,"north_woodlawn",43
"318",1965,"south_kenwood",6
"319",1965,"south_shore",13
"320",1965,"south_woodlawn",6
"321",1966,"black_belt",11
"322",1966,"north_woodlawn",49
"323",1966,"south_kenwood",17
"324",1966,"south_shore",24
"325",1966,"south_woodlawn",6
"326",1967,"black_belt",21
"327",1967,"north_woodlawn",42
"328",1967,"south_kenwood",15
"329",1967,"south_shore",39
"330",1967,"south_woodlawn",3
"331",1968,"black_belt",40
"332",1968,"north_woodlawn",36
"333",1968,"south_kenwood",15
"334",1968,"south_shore",103
"335",1968,"south_woodlawn",4
"336",1969,"black_belt",17
"337",1969,"north_woodlawn",39
"338",1969,"south_kenwood",15
"339",1969,"south_shore",95
"340",1969,"south_woodlawn",2
"341",1970,"black_belt",11
"342",1970,"north_woodlawn",25
"343",1970,"south_kenwood",31
"344",1970,"south_shore",74
"345",1970,"south_woodlawn",1
"346",1971,"black_belt",23
"347",1971,"north_woodlawn",34
"348",1971,"south_kenwood",54
"349",1971,"south_shore",66
"350",1971,"south_woodlawn",2
"351",1973,"black_belt",20
"352",1973,"north_woodlawn",68
"353",1973,"south_kenwood",64
"354",1973,"south_shore",70
"355",1973,"south_woodlawn",2
"356",1974,"black_belt",8
"357",1974,"north_woodlawn",30
"358",1974,"south_kenwood",25
"359",1974,"south_shore",16
"360",1974,"south_woodlawn",3
"361",1975,"black_belt",23
"362",1975,"north_woodlawn",32
"363",1975,"south_kenwood",63
"364",1975,"south_shore",55
"365",1975,"south_woodlawn",5
"366",1976,"black_belt",11
"367",1976,"north_woodlawn",26
"368",1976,"south_kenwood",36
"369",1976,"south_shore",60
"370",1976,"south_woodlawn",1
"371",1977,"black_belt",18
"372",1977,"north_woodlawn",31
"373",1977,"south_kenwood",33
"374",1977,"south_shore",103
"375",1977,"south_woodlawn",4
"376",1978,"black_belt",5
"377",1978,"north_woodlawn",18
"378",1978,"south_kenwood",51
"379",1978,"south_shore",34
"380",1978,"south_woodlawn",8
"381",1979,"black_belt",14
"382",1979,"north_woodlawn",12
"383",1979,"south_kenwood",54
"384",1979,"south_shore",13
"385",1979,"south_woodlawn",2
"386",1980,"black_belt",30
"387",1980,"north_woodlawn",21
"388",1980,"south_kenwood",42
"389",1980,"south_shore",4
"390",1980,"south_woodlawn",2
"391",1981,"black_belt",27
"392",1981,"north_woodlawn",18
"393",1981,"south_kenwood",37
"394",1981,"south_shore",3
"395",1981,"south_woodlawn",1
"396",1982,"black_belt",27
"397",1982,"north_woodlawn",20
"398",1982,"south_kenwood",61
"399",1982,"south_shore",8
"400",1982,"south_woodlawn",3
"401",1983,"black_belt",18
"402",1983,"north_woodlawn",32
"403",1983,"south_kenwood",53
"404",1983,"south_shore",12
"405",1983,"south_woodlawn",1
"406",1984,"black_belt",15
"407",1984,"north_woodlawn",10
"408",1984,"south_kenwood",70
"409",1984,"south_shore",6
"410",1984,"south_woodlawn",0.01
"411",1985,"black_belt",28
"412",1985,"north_woodlawn",17
"413",1985,"south_kenwood",71
"414",1985,"south_shore",23
"415",1985,"south_woodlawn",1
"416",1986,"black_belt",13
"417",1986,"north_woodlawn",49
"418",1986,"south_kenwood",94
"419",1986,"south_shore",42
"420",1986,"south_woodlawn",7
