id,year,neighborhood,percentage
187,1933,hyde_park,65.78538103
188,1933,black_belt,11.35303266
189,1933,south_woodlawn,12.59720062
190,1933,north_woodlawn,6.220839813
191,1933,south_kenwood,2.02177294
192,1933,south_shore,2.02177294
193,1934,hyde_park,52.4291498
194,1934,black_belt,7.085020243
195,1934,south_woodlawn,22.46963562
196,1934,north_woodlawn,9.311740891
197,1934,south_kenwood,4.858299595
198,1934,south_shore,3.846153846
199,1935,hyde_park,47.83821478
200,1935,black_belt,8.368200837
201,1935,south_woodlawn,17.9916318
202,1935,north_woodlawn,14.36541143
203,1935,south_kenwood,5.718270572
204,1935,south_shore,5.718270572
205,1936,hyde_park,66.66666667
206,1936,black_belt,8.552631579
207,1936,south_woodlawn,14.25438596
208,1936,north_woodlawn,7.01754386
209,1936,south_kenwood,2.631578947
210,1936,south_shore,0.877192982
211,1937,hyde_park,59.55882353
212,1937,black_belt,4.166666667
213,1937,south_woodlawn,20.83333333
214,1937,north_woodlawn,12.5
215,1937,south_kenwood,0.735294118
216,1937,south_shore,2.205882353
217,1938,hyde_park,55.98194131
218,1938,black_belt,2.257336343
219,1938,south_woodlawn,13.09255079
220,1938,north_woodlawn,24.60496614
221,1938,south_kenwood,0.225733635
222,1938,south_shore,3.837471783
223,1939,hyde_park,47.62886598
224,1939,black_belt,8.659793815
225,1939,south_woodlawn,22.47422681
226,1939,north_woodlawn,13.81443299
227,1939,south_kenwood,0.824742268
228,1939,south_shore,6.597938145
229,1940,hyde_park,52.86041189
230,1940,black_belt,10.06864989
231,1940,south_woodlawn,21.96796339
232,1940,north_woodlawn,12.58581236
233,1940,south_kenwood,0.228832952
234,1940,south_shore,2.288329519
235,1941,hyde_park,55.41795666
236,1941,black_belt,2.786377709
237,1941,south_woodlawn,33.12693498
238,1941,north_woodlawn,6.811145511
239,1941,south_kenwood,0
240,1941,south_shore,1.857585139
241,1942,hyde_park,71.67630058
242,1942,black_belt,0.578034682
243,1942,south_woodlawn,19.07514451
244,1942,north_woodlawn,3.468208092
245,1942,south_kenwood,1.734104046
246,1942,south_shore,3.468208092
247,1943,hyde_park,72.72727273
248,1943,black_belt,3.030303031
249,1943,south_woodlawn,9.090909092
250,1943,north_woodlawn,13.63636364
251,1943,south_kenwood,1.515151515
252,1943,south_shore,0
253,1944,hyde_park,68.84057971
254,1944,black_belt,0.724637681
255,1944,south_woodlawn,12.31884058
256,1944,north_woodlawn,10.86956522
257,1944,south_kenwood,2.898550725
258,1944,south_shore,4.347826087
259,1945,hyde_park,75.42372881
260,1945,black_belt,1.694915254
261,1945,south_woodlawn,10.16949153
262,1945,north_woodlawn,5.084745763
263,1945,south_kenwood,0
264,1945,south_shore,7.627118644
265,1946,hyde_park,82.68156425
266,1946,black_belt,2.793296089
267,1946,south_woodlawn,4.469273743
268,1946,north_woodlawn,3.910614525
269,1946,south_kenwood,6.145251396
270,1946,south_shore,0
271,1947,hyde_park,75.71428572
272,1947,black_belt,2.380952381
273,1947,south_woodlawn,7.142857144
274,1947,north_woodlawn,11.9047619
275,1947,south_kenwood,2.857142857
276,1947,south_shore,0
277,1948,hyde_park,72.32375979
278,1948,black_belt,2.349869452
279,1948,south_woodlawn,7.571801566
