"","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986"
"black_belt",52,101,40,57,17,37,75,68,25,14,18,40,5,25,2,12,30,23,0,13,51,4,34,20,23,38,11,46,24,25,52,73,30,60,39,13,10,42,44,9,1,2,1,2,5,5,9,4,7,15,3,12,18,2,6,7,5,5,11,7,8,10,18,32,11,21,40,17,10,23,20,8,23,11,18,5,14,30,27,27,18,15,28,13
"hyde_park",41,235,95,197,130,83,63,137,180,105,132,154,259,300,289,327,194,222,109,113,245,305,312,454,617,887,590,390,234,386,372,423,259,343,304,243,248,231,231,179,124,48,95,89,149,159,277,227,254,331,151,280,317,430,477,416,433,580,351,304,464,522,477,525,490,352,484,565,602,535,730,258,667,520,469,428,390,396,498,836,582,478,451,662
"north_kenwood",0,3,0,2,1,0,7,0,4,1,1,3,7,4,0,3,4,0,0,5,1,5,8,6,5,20,1,9,0,1,6,4,1,4,0,1,2,2,0,0,0,0,0,0,0,0,2,0,6,3,0,1,0,0,3,2,1,7,3,1,3,3,9,10,3,9,3,4,4,5,0,1,5,8,20,5,6,1,0,0,0,0,0,0
"north_woodlawn",9,72,42,38,16,31,37,74,104,64,82,44,99,98,102,167,85,72,13,36,27,49,54,140,177,142,65,72,80,55,63,40,51,103,32,55,109,67,55,22,6,9,15,6,6,25,55,36,37,76,27,17,44,24,29,20,41,39,34,28,65,49,49,45,49,42,36,39,25,34,68,30,32,26,31,18,12,21,18,20,32,10,17,49
"other",21,70,22,2,64,3,24,0,6,18,9,0,1,1,3,2,3,2,4,12,1,1,2,18,4,21,6,23,8,2,8,1,2,4,0,12,3,6,9,0,1,1,0,0,2,0,3,3,3,8,4,11,1,7,6,17,15,22,22,7,9,15,27,24,13,28,17,18,30,13,34,26,70,62,39,39,29,34,19,1,4,8,1,2
"south_kenwood",3,4,1,3,0,0,7,1,3,0,1,13,11,3,2,8,13,12,12,1,6,20,7,10,54,54,19,16,25,48,24,13,24,41,12,3,1,4,1,0,3,1,4,0,11,6,10,4,1,11,4,3,3,28,13,29,33,20,10,35,18,13,10,6,17,15,15,15,31,54,64,25,63,36,33,51,54,42,37,61,53,70,71,94
"south_shore",0,1,0,4,0,1,0,0,0,0,0,23,2,1,6,0,3,1,1,0,1,1,11,4,10,48,23,15,15,27,11,13,19,41,4,9,17,32,10,6,6,0,6,9,0,0,3,3,3,4,0,2,2,9,13,12,7,52,43,50,45,60,36,13,24,39,103,95,75,66,70,16,55,60,103,34,13,4,3,8,12,6,23,42
"south_woodlawn",10,37,8,8,4,7,8,14,48,38,7,3,40,24,30,59,27,35,7,4,32,51,7,29,71,116,82,89,98,104,155,81,111,129,65,85,58,109,96,107,33,6,17,12,8,15,29,14,24,27,16,4,16,19,30,13,15,1,1,2,9,2,7,6,6,3,4,2,1,2,2,3,5,1,4,8,2,2,1,3,1,0,1,7
