Search_and_address,old_search,old_addr,search,addr,city_state,full,Quantity,Publication,Month,Day,Year,Edition,lon,lat,geoAddress
20_East_MONROE_@20_E_MONROE_ST@.html,20_East_MONROE_,20_E_MONROE_ST,20 East MONROE ,20 E MONROE ST,"Chicago, IL","20 E MONROE ST, Chicago, IL","1", Daily Maroon,October,"23","1908",,"-87.6269389","41.8807816","20 e monroe st, chicago, il 60603, usa"
1410_East_56TH_@1410_E_56TH_ST@.html,1410_East_56TH_,1410_E_56TH_ST,1410 East 56TH ,1410 E 56TH ST,"Chicago, IL","1410 E 56TH ST, Chicago, IL","1", Daily Maroon,May,"8","1973",,"-87.5912309","41.793555","1410 e 56th st, chicago, il 60637, usa"
1358_East_58TH_@1358_E_58TH_ST@.html,1358_East_58TH_,1358_E_58TH_ST,1358 East 58TH ,1358 E 58TH ST,"Chicago, IL","1358 E 58TH ST, Chicago, IL","1", Daily Maroon,April,"25","1914",,"-87.5925164","41.7898676","1358 e 58th st, chicago, il 60637, usa"
221_East_ONTARIO_@221_E_ONTARIO_ST@.html,221_East_ONTARIO_,221_E_ONTARIO_ST,221 East ONTARIO ,221 E ONTARIO ST,"Chicago, IL","221 E ONTARIO ST, Chicago, IL","1", Daily Maroon,December,"2","1927",,"-87.621799","41.893147","221 e ontario st, chicago, il 60611, usa"
11_East_GRAND_@11_E_GRAND_AVE@.html,11_East_GRAND_,11_E_GRAND_AVE,11 East GRAND ,11 E GRAND AVE,"Chicago, IL","11 E GRAND AVE, Chicago, IL","1", Daily Maroon,September,"26","1950",,"-87.6274636","41.8915736","11 e grand ave, chicago, il 60611, usa"
27_E._26TH_@27_E_26TH_ST@.html,27_E._26TH_,27_E_26TH_ST,27 E. 26TH ,27 E 26TH ST,"Chicago, IL","27 E 26TH ST, Chicago, IL","1", Daily Maroon,February,"16","1973",,"-87.6256748","41.8453393","27 e 26th st, chicago, il 60616, usa"
1309_E._60TH_@1309_E_60TH_ST@.html,1309_E._60TH_,1309_E_60TH_ST,1309 E. 60TH ,1309 E 60TH ST,"Chicago, IL","1309 E 60TH ST, Chicago, IL","1", Daily Maroon,October,"1","1954",,"-87.5935894","41.7856381","1309 e 60th st, chicago, il 60637, usa"
70_East_MADISON_@70_E_MADISON_ST@.html,70_East_MADISON_,70_E_MADISON_ST,70 East MADISON ,70 E MADISON ST,"Chicago, IL","70 E MADISON ST, Chicago, IL","1", Daily Maroon,January,"27","1933",,"-87.625109","41.8822378","70 e madison st, chicago, il 60602, usa"
70_East_MADISON_@70_E_MADISON_ST@.html,70_East_MADISON_,70_E_MADISON_ST,70 East MADISON ,70 E MADISON ST,"Chicago, IL","70 E MADISON ST, Chicago, IL","1", Daily Maroon,February,"10","1925",,"-87.625109","41.8822378","70 e madison st, chicago, il 60602, usa"
1126_East_58TH_@1126_E_58TH_ST@.html,1126_East_58TH_,1126_E_58TH_ST,1126 East 58TH ,1126 E 58TH ST,"Chicago, IL","1126 E 58TH ST, Chicago, IL","1", Daily Maroon,May,"28","1985",,"-87.601259","41.7895621","1126 e 58th st, chicago, il 60637, usa"
1_E._DIVISION_@1_E_DIVISION_ST@.html,1_E._DIVISION_,1_E_DIVISION_ST,1 E. DIVISION ,1 E DIVISION ST,"Chicago, IL","1 E DIVISION ST, Chicago, IL","1", Daily Maroon,October,"13","1908",,"-87.6286589","41.9039362","1 e division st, chicago, il 60610, usa"
51_East_OAK_@51_E_OAK_ST@.html,51_East_OAK_,51_E_OAK_ST,51 East OAK ,51 E OAK ST,"Chicago, IL","51 E OAK ST, Chicago, IL","2", Daily Maroon,March,"27","1973",,"-87.626312","41.900508","51 e oak st, chicago, il 60611, usa"
51_East_OAK_@51_E_OAK_ST@.html,51_East_OAK_,51_E_OAK_ST,51 East OAK ,51 E OAK ST,"Chicago, IL","51 E OAK ST, Chicago, IL","2", Daily Maroon,January,"9","1973",,"-87.626312","41.900508","51 e oak st, chicago, il 60611, usa"
51_East_OAK_@51_E_OAK_ST@.html,51_East_OAK_,51_E_OAK_ST,51 East OAK ,51 E OAK ST,"Chicago, IL","51 E OAK ST, Chicago, IL","2", Daily Maroon,January,"23","1973",,"-87.626312","41.900508","51 e oak st, chicago, il 60611, usa"
51_East_OAK_@51_E_OAK_ST@.html,51_East_OAK_,51_E_OAK_ST,51 East OAK ,51 E OAK ST,"Chicago, IL","51 E OAK ST, Chicago, IL","2", Daily Maroon,February,"13","1973",,"-87.626312","41.900508","51 e oak st, chicago, il 60611, usa"
51_East_OAK_@51_E_OAK_ST@.html,51_East_OAK_,51_E_OAK_ST,51 East OAK ,51 E OAK ST,"Chicago, IL","51 E OAK ST, Chicago, IL","1", Daily Maroon,March,"30","1973",,"-87.626312","41.900508","51 e oak st, chicago, il 60611, usa"
15_E._VAN_BUREN_@15_E_VAN_BUREN_ST@.html,15_E._VAN_BUREN_,15_E_VAN_BUREN_ST,15 E. VAN BUREN ,15 E VAN BUREN ST,"Chicago, IL","15 E VAN BUREN ST, Chicago, IL","1", Daily Maroon,January,"13","1984",,"-87.6270614","41.876867","15 e van buren st, chicago, il 60605, usa"
1123_East_60TH_@1123_E_60TH_ST@.html,1123_East_60TH_,1123_E_60TH_ST,1123 East 60TH ,1123 E 60TH ST,"Chicago, IL","1123 E 60TH ST, Chicago, IL","1", Daily Maroon,February,"21","1947",,"-87.598233","41.7859376","1123 e 60th st, chicago, il 60637, usa"
1357_E._59TH_@1357_E_59TH_ST@.html,1357_E._59TH_,1357_E_59TH_ST,1357 E. 59TH ,1357 E 59TH ST,"Chicago, IL","1357 E 59TH ST, Chicago, IL","1", Daily Maroon,January,"12","1971",,"-87.5914952","41.7878419","1357 e 59th st, chicago, il 60637, usa"
850_East_58TH_@850_E_58TH_ST@.html,850_East_58TH_,850_E_58TH_ST,850 East 58TH ,850 E 58TH ST,"Chicago, IL","850 E 58TH ST, Chicago, IL","1", Daily Maroon,March,"12","1937",,"-87.6040462","41.7896858","american school, 850 e 58th st, chicago, il 60637, usa"
850_East_58TH_@850_E_58TH_ST@.html,850_East_58TH_,850_E_58TH_ST,850 East 58TH ,850 E 58TH ST,"Chicago, IL","850 E 58TH ST, Chicago, IL","1", Daily Maroon,January,"15","1936",,"-87.6040462","41.7896858","american school, 850 e 58th st, chicago, il 60637, usa"
850_East_58TH_@850_E_58TH_ST@.html,850_East_58TH_,850_E_58TH_ST,850 East 58TH ,850 E 58TH ST,"Chicago, IL","850 E 58TH ST, Chicago, IL","1", Daily Maroon,January,"8","1936",,"-87.6040462","41.7896858","american school, 850 e 58th st, chicago, il 60637, usa"
850_East_58TH_@850_E_58TH_ST@.html,850_East_58TH_,850_E_58TH_ST,850 East 58TH ,850 E 58TH ST,"Chicago, IL","850 E 58TH ST, Chicago, IL","1", Daily Maroon,December,"11","1935",,"-87.6040462","41.7896858","american school, 850 e 58th st, chicago, il 60637, usa"
850_East_58TH_@850_E_58TH_ST@.html,850_East_58TH_,850_E_58TH_ST,850 East 58TH ,850 E 58TH ST,"Chicago, IL","850 E 58TH ST, Chicago, IL","1", Daily Maroon,January,"24","1936",,"-87.6040462","41.7896858","american school, 850 e 58th st, chicago, il 60637, usa"
940_E._58TH_@940_E_58TH_ST@.html,940_E._58TH_,940_E_58TH_ST,940 E. 58TH ,940 E 58TH ST,"Chicago, IL","940 E 58TH ST, Chicago, IL","1", Daily Maroon,October,"5","1948",,"-87.6025416","41.7898771","940 e 58th st, chicago, il 60637, usa"
59_E._VAN_BUREN_@59_E_VAN_BUREN_ST@.html,59_E._VAN_BUREN_,59_E_VAN_BUREN_ST,59 E. VAN BUREN ,59 E VAN BUREN ST,"Chicago, IL","59 E VAN BUREN ST, Chicago, IL","1", Daily Maroon,May,"6","1975",,"-87.6253086","41.8767641","59 e van buren st, chicago, il 60605, usa"
59_E._VAN_BUREN_@59_E_VAN_BUREN_ST@.html,59_E._VAN_BUREN_,59_E_VAN_BUREN_ST,59 E. VAN BUREN ,59 E VAN BUREN ST,"Chicago, IL","59 E VAN BUREN ST, Chicago, IL","1", Daily Maroon,May,"23","1978",,"-87.6253086","41.8767641","59 e van buren st, chicago, il 60605, usa"
59_E._VAN_BUREN_@59_E_VAN_BUREN_ST@.html,59_E._VAN_BUREN_,59_E_VAN_BUREN_ST,59 E. VAN BUREN ,59 E VAN BUREN ST,"Chicago, IL","59 E VAN BUREN ST, Chicago, IL","1", Daily Maroon,May,"16","1978",,"-87.6253086","41.8767641","59 e van buren st, chicago, il 60605, usa"
59_E._VAN_BUREN_@59_E_VAN_BUREN_ST@.html,59_E._VAN_BUREN_,59_E_VAN_BUREN_ST,59 E. VAN BUREN ,59 E VAN BUREN ST,"Chicago, IL","59 E VAN BUREN ST, Chicago, IL","1", Daily Maroon,May,"13","1975",,"-87.6253086","41.8767641","59 e van buren st, chicago, il 60605, usa"
59_E._VAN_BUREN_@59_E_VAN_BUREN_ST@.html,59_E._VAN_BUREN_,59_E_VAN_BUREN_ST,59 E. VAN BUREN ,59 E VAN BUREN ST,"Chicago, IL","59 E VAN BUREN ST, Chicago, IL","1", Daily Maroon,May,"9","1978",,"-87.6253086","41.8767641","59 e van buren st, chicago, il 60605, usa"
59_E._VAN_BUREN_@59_E_VAN_BUREN_ST@.html,59_E._VAN_BUREN_,59_E_VAN_BUREN_ST,59 E. VAN BUREN ,59 E VAN BUREN ST,"Chicago, IL","59 E VAN BUREN ST, Chicago, IL","1", Daily Maroon,May,"19","1978",,"-87.6253086","41.8767641","59 e van buren st, chicago, il 60605, usa"
59_E._VAN_BUREN_@59_E_VAN_BUREN_ST@.html,59_E._VAN_BUREN_,59_E_VAN_BUREN_ST,59 E. VAN BUREN ,59 E VAN BUREN ST,"Chicago, IL","59 E VAN BUREN ST, Chicago, IL","1", Daily Maroon,May,"23","1980",,"-87.6253086","41.8767641","59 e van buren st, chicago, il 60605, usa"
59_E._VAN_BUREN_@59_E_VAN_BUREN_ST@.html,59_E._VAN_BUREN_,59_E_VAN_BUREN_ST,59 E. VAN BUREN ,59 E VAN BUREN ST,"Chicago, IL","59 E VAN BUREN ST, Chicago, IL","1", Daily Maroon,May,"16","1980",,"-87.6253086","41.8767641","59 e van buren st, chicago, il 60605, usa"
59_E._VAN_BUREN_@59_E_VAN_BUREN_ST@.html,59_E._VAN_BUREN_,59_E_VAN_BUREN_ST,59 E. VAN BUREN ,59 E VAN BUREN ST,"Chicago, IL","59 E VAN BUREN ST, Chicago, IL","1", Daily Maroon,May,"9","1975",,"-87.6253086","41.8767641","59 e van buren st, chicago, il 60605, usa"
59_E._VAN_BUREN_@59_E_VAN_BUREN_ST@.html,59_E._VAN_BUREN_,59_E_VAN_BUREN_ST,59 E. VAN BUREN ,59 E VAN BUREN ST,"Chicago, IL","59 E VAN BUREN ST, Chicago, IL","1", Daily Maroon,May,"12","1978",,"-87.6253086","41.8767641","59 e van buren st, chicago, il 60605, usa"
59_E._VAN_BUREN_@59_E_VAN_BUREN_ST@.html,59_E._VAN_BUREN_,59_E_VAN_BUREN_ST,59 E. VAN BUREN ,59 E VAN BUREN ST,"Chicago, IL","59 E VAN BUREN ST, Chicago, IL","1", Daily Maroon,April,"9","1976",,"-87.6253086","41.8767641","59 e van buren st, chicago, il 60605, usa"
59_E._VAN_BUREN_@59_E_VAN_BUREN_ST@.html,59_E._VAN_BUREN_,59_E_VAN_BUREN_ST,59 E. VAN BUREN ,59 E VAN BUREN ST,"Chicago, IL","59 E VAN BUREN ST, Chicago, IL","1", Daily Maroon,May,"16","1975",,"-87.6253086","41.8767641","59 e van buren st, chicago, il 60605, usa"
59_E._VAN_BUREN_@59_E_VAN_BUREN_ST@.html,59_E._VAN_BUREN_,59_E_VAN_BUREN_ST,59 E. VAN BUREN ,59 E VAN BUREN ST,"Chicago, IL","59 E VAN BUREN ST, Chicago, IL","1", Daily Maroon,May,"18","1979",,"-87.6253086","41.8767641","59 e van buren st, chicago, il 60605, usa"
59_E._VAN_BUREN_@59_E_VAN_BUREN_ST@.html,59_E._VAN_BUREN_,59_E_VAN_BUREN_ST,59 E. VAN BUREN ,59 E VAN BUREN ST,"Chicago, IL","59 E VAN BUREN ST, Chicago, IL","1", Daily Maroon,May,"9","1986",,"-87.6253086","41.8767641","59 e van buren st, chicago, il 60605, usa"
58_E._OAK_@58_E_OAK_ST@.html,58_E._OAK_,58_E_OAK_ST,58 E. OAK ,58 E OAK ST,"Chicago, IL","58 E OAK ST, Chicago, IL","1", Daily Maroon,February,"20","1976",,"-87.6261518","41.9010329","58 e oak st, chicago, il 60611, usa"
58_E._OAK_@58_E_OAK_ST@.html,58_E._OAK_,58_E_OAK_ST,58 E. OAK ,58 E OAK ST,"Chicago, IL","58 E OAK ST, Chicago, IL","1", Daily Maroon,February,"14","1975",,"-87.6261518","41.9010329","58 e oak st, chicago, il 60611, usa"
58_E._OAK_@58_E_OAK_ST@.html,58_E._OAK_,58_E_OAK_ST,58 E. OAK ,58 E OAK ST,"Chicago, IL","58 E OAK ST, Chicago, IL","1", Daily Maroon,September,"23","1983",,"-87.6261518","41.9010329","58 e oak st, chicago, il 60611, usa"
