Search_and_address,old_search,old_addr,search,addr,city_state,full,Quantity,Publication,Month,Day,Year,Edition,lon,lat,geoAddress
4859_S._WABASH_@4859_S_WABASH_AVE@.html,4859_S._WABASH_,4859_S_WABASH_AVE,4859 S. WABASH ,4859 S WABASH AVE,"Chicago, IL","4859 S WABASH AVE, Chicago, IL","1", Daily Maroon,May,"25","1973",,"-87.623957","41.8063231","4859 s wabash ave, chicago, il 60615, usa"
231_S._DEARBORN_@231_S_DEARBORN_ST@.html,231_S._DEARBORN_,231_S_DEARBORN_ST,231 S. DEARBORN ,231 S DEARBORN ST,"Chicago, IL","231 S DEARBORN ST, Chicago, IL","1", Daily Maroon,May,"16","1911",,"-87.6289423","41.8784498","231 s dearborn st, chicago, il 60604, usa"
300_S._COLUMBUS_@300_S_COLUMBUS_DR@.html,300_S._COLUMBUS_,300_S_COLUMBUS_DR,300 S. COLUMBUS ,300 S COLUMBUS DR,"Chicago, IL","300 S COLUMBUS DR, Chicago, IL","1", Daily Maroon,March,"4","1975",,"-87.620643","41.877138","300 s columbus dr, chicago, il 60605, usa"
5319_S._CORNELL_@5319_S_CORNELL_AVE@.html,5319_S._CORNELL_,5319_S_CORNELL_AVE,5319 S. CORNELL ,5319 S CORNELL AVE,"Chicago, IL","5319 S CORNELL AVE, Chicago, IL","1", Daily Maroon,May,"13","1986",,"-87.5851645","41.7988669","5319 s cornell ave, chicago, il 60615, usa"
5319_S._CORNELL_@5319_S_CORNELL_AVE@.html,5319_S._CORNELL_,5319_S_CORNELL_AVE,5319 S. CORNELL ,5319 S CORNELL AVE,"Chicago, IL","5319 S CORNELL AVE, Chicago, IL","1", Daily Maroon,May,"20","1986",,"-87.5851645","41.7988669","5319 s cornell ave, chicago, il 60615, usa"
5319_S._CORNELL_@5319_S_CORNELL_AVE@.html,5319_S._CORNELL_,5319_S_CORNELL_AVE,5319 S. CORNELL ,5319 S CORNELL AVE,"Chicago, IL","5319 S CORNELL AVE, Chicago, IL","1", Daily Maroon,May,"9","1986",,"-87.5851645","41.7988669","5319 s cornell ave, chicago, il 60615, usa"
5319_S._CORNELL_@5319_S_CORNELL_AVE@.html,5319_S._CORNELL_,5319_S_CORNELL_AVE,5319 S. CORNELL ,5319 S CORNELL AVE,"Chicago, IL","5319 S CORNELL AVE, Chicago, IL","1", Daily Maroon,May,"16","1986",,"-87.5851645","41.7988669","5319 s cornell ave, chicago, il 60615, usa"
10525_South_TALMAN_@10525_S_TALMAN_AVE@.html,10525_South_TALMAN_,10525_S_TALMAN_AVE,10525 South TALMAN ,10525 S TALMAN AVE,"Chicago, IL","10525 S TALMAN AVE, Chicago, IL","1", Daily Maroon,April,"20","1973",,"-87.6879087","41.7019448","10525 s talman ave, chicago, il 60655, usa"
1325_S._WABASH_@1325_S_WABASH_AVE@.html,1325_S._WABASH_,1325_S_WABASH_AVE,1325 S. WABASH ,1325 S WABASH AVE,"Chicago, IL","1325 S WABASH AVE, Chicago, IL","1", Daily Maroon,May,"4","1973",,"-87.6251941","41.8651669","1325 s wabash ave, chicago, il 60605, usa"
418_South_MICHIGAN_@418_S_MICHIGAN_AVE@.html,418_South_MICHIGAN_,418_S_MICHIGAN_AVE,418 South MICHIGAN ,418 S MICHIGAN AVE,"Chicago, IL","418 S MICHIGAN AVE, Chicago, IL","1", Daily Maroon,January,"5","1962",,"-87.6251133","41.8763057","418 s michigan ave, chicago, il 60605, usa"
418_South_MICHIGAN_@418_S_MICHIGAN_AVE@.html,418_South_MICHIGAN_,418_S_MICHIGAN_AVE,418 South MICHIGAN ,418 S MICHIGAN AVE,"Chicago, IL","418 S MICHIGAN AVE, Chicago, IL","1", Daily Maroon,November,"27","1925",,"-87.6251133","41.8763057","418 s michigan ave, chicago, il 60605, usa"
418_South_MICHIGAN_@418_S_MICHIGAN_AVE@.html,418_South_MICHIGAN_,418_S_MICHIGAN_AVE,418 South MICHIGAN ,418 S MICHIGAN AVE,"Chicago, IL","418 S MICHIGAN AVE, Chicago, IL","1", Daily Maroon,December,"4","1925",,"-87.6251133","41.8763057","418 s michigan ave, chicago, il 60605, usa"
418_South_MICHIGAN_@418_S_MICHIGAN_AVE@.html,418_South_MICHIGAN_,418_S_MICHIGAN_AVE,418 South MICHIGAN ,418 S MICHIGAN AVE,"Chicago, IL","418 S MICHIGAN AVE, Chicago, IL","1", Daily Maroon,November,"2","1956",,"-87.6251133","41.8763057","418 s michigan ave, chicago, il 60605, usa"
418_South_MICHIGAN_@418_S_MICHIGAN_AVE@.html,418_South_MICHIGAN_,418_S_MICHIGAN_AVE,418 South MICHIGAN ,418 S MICHIGAN AVE,"Chicago, IL","418 S MICHIGAN AVE, Chicago, IL","1", Daily Maroon,November,"6","1962",,"-87.6251133","41.8763057","418 s michigan ave, chicago, il 60605, usa"
418_South_MICHIGAN_@418_S_MICHIGAN_AVE@.html,418_South_MICHIGAN_,418_S_MICHIGAN_AVE,418 South MICHIGAN ,418 S MICHIGAN AVE,"Chicago, IL","418 S MICHIGAN AVE, Chicago, IL","1", Daily Maroon,December,"1","1961",,"-87.6251133","41.8763057","418 s michigan ave, chicago, il 60605, usa"
418_South_MICHIGAN_@418_S_MICHIGAN_AVE@.html,418_South_MICHIGAN_,418_S_MICHIGAN_AVE,418 South MICHIGAN ,418 S MICHIGAN AVE,"Chicago, IL","418 S MICHIGAN AVE, Chicago, IL","1", Daily Maroon,March,"30","1962",,"-87.6251133","41.8763057","418 s michigan ave, chicago, il 60605, usa"
418_South_MICHIGAN_@418_S_MICHIGAN_AVE@.html,418_South_MICHIGAN_,418_S_MICHIGAN_AVE,418 South MICHIGAN ,418 S MICHIGAN AVE,"Chicago, IL","418 S MICHIGAN AVE, Chicago, IL","1", Daily Maroon,August,"16","1973",,"-87.6251133","41.8763057","418 s michigan ave, chicago, il 60605, usa"
418_South_MICHIGAN_@418_S_MICHIGAN_AVE@.html,418_South_MICHIGAN_,418_S_MICHIGAN_AVE,418 South MICHIGAN ,418 S MICHIGAN AVE,"Chicago, IL","418 S MICHIGAN AVE, Chicago, IL","1", Daily Maroon,September,"28","1956",,"-87.6251133","41.8763057","418 s michigan ave, chicago, il 60605, usa"
9030_South_CICERO_@9030_S_CICERO_AVE@.html,9030_South_CICERO_,9030_S_CICERO_AVE,9030 South CICERO ,9030 S CICERO AVE,"Chicago, IL","9030 S CICERO AVE, Chicago, IL","1", Daily Maroon,April,"27","1965",,"-87.741538","41.727838","9030 s cicero ave, oak lawn, il 60453, usa"
